barcode,brand,model,size_canonical,manufacturer_part_number,match,found_product,reason,grounded,source_url
715459317134,hankook,w310_winter,225/55R16,1011997,yes,Hankook W310 225/55R16XL 99V BSW (Winter i*Cept Evo W310),"The barcode 715459317134 resolves to a Hankook W310 tire with manufacturer part number 1011997 and size 225/55R16, matching the recorded product data.",True,https://www.tiresandwheels.com/product/tire/EC225234/Hankook/1011997/W310-Winter_715459317134_225+55R16
715459268962,hankook,dynapro_atm_rf10,LT245/70R17,2001382,yes,Hankook Dynapro ATM RF10 LT245/70R17,The barcode resolves to Hankook Dynapro ATM RF10 LT245/70R17 on multiple credible retail websites.,True,https://www.tiresandwheels.com/product/tire/EC6197/Hankook/2001382/Dynapro-ATm-RF10_715459268962_LT245+70R17
721506318283,yokohama,avid_touring_s,225/65R17,110131828,yes,Yokohama AVID Touring S 225/65R17,"The barcode 721506318283 consistently resolves to the Yokohama AVID Touring S tire, size 225/65R17, across multiple credible online retailers. The manufacturer part number 110131828 is also confirmed.",True,https://www.tiresandwheels.com/product/tire/EC233621/Yokohama/110131828/Avid-Touring-S_721506318283_225+65R17
715459357451,hankook,ventus_v12_evo2_k120,275/30R21,1015758,yes,Hankook Ventus V12 evo2 K120 275/30R21,The barcode 715459357451 consistently resolves to the Hankook Ventus V12 evo2 K120 tire with size 275/30R21 and manufacturer part number 1015758 across multiple credible online retailers.,True,https://www.tiresandwheels.com/product/tire/EC222181/Hankook/1015758/Ventus-V12-evo2-K120_715459357451_275+30R21
715459319565,hankook,dynapro_ht_rh12,LT265/70R17,2001848,yes,Hankook Dynapro HT RH12 LT265/70R17 E/10PLY BSW Tire,The barcode resolves to 'Hankook Dynapro HT RH12 LT265/70R17' with manufacturer part number '2001848' on multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC166270/Hankook/2001848/DynaPro-HT-RH12_715459319565_LT265+70R17
715459470136,hankook,dynapro_ht_rh12,235/65R16,2021213,uncertain,,"The barcode 715459470136 could not be directly linked to the recorded brand, model, size, or manufacturer part number in the search results. While the recorded product details (Hankook Dynapro HT RH12",True,https://www.tiresandwheels.com/product/tire/EC246621/Hankook/2021213/DynaPro-HT-RH12_715459470136_235+65R16
715459240883,hankook,ventus_rh06,305/40R22,1005412,yes,Hankook Ventus ST RH06 305/40R22 114V XL,"The barcode 715459240883 consistently resolves to the Hankook Ventus ST RH06 tire, size 305/40R22, across multiple credible sources. The manufacturer part number 1005412 is also associated with this p",True,https://www.tiresandwheels.com/product/tire/EC8373/Hankook/1005412/Ventus-RH06_715459240883_305+40R22
715459257317,hankook,dynapro_mt_rt03,LT37/12.50R18,2001275,yes,Hankook Dynapro MT RT03 LT37X12.50R18,"The barcode 715459257317 consistently resolves to Hankook Dynapro MT RT03, size LT37X12.50R18, and manufacturer part number 2001275 across multiple credible sources.",True,https://www.tiresandwheels.com/product/tire/EC8918/Hankook/2001275/Dynapro-MT-RT03_715459257317_LT37x12.50R18
715459353217,hankook,ventus_v12_evo2_k120,275/35R20,1015372,yes,Hankook Ventus V12 evo2 K120 275/35R20,"The barcode resolves to Hankook Ventus V12 evo2 K120 275/35R20, matching the recorded brand, model, and size. The manufacturer part number 1015372 is also confirmed.",True,https://www.tiresandwheels.com/product/tire/EC222175/Hankook/1015372/Ventus-V12-evo2-K120_715459353217_275+35R20
715459350902,hankook,dynapro_atm_rf10,265/70R16,1015171,yes,Hankook Dynapro ATM RF10,The barcode 715459350902 consistently resolves to Hankook Dynapro ATM RF10 tires across multiple credible online retailers.,True,https://www.tiresandwheels.com/product/tire/EC158860/Hankook/1015171/Dynapro-ATm-RF10_715459350902_265+70R16
715459404063,hankook,winter_icept_iz2_w616,235/55R17,1020357,yes,Hankook Winter i*cept iZ2 W616 235/55R17,The barcode 715459404063 consistently resolves to the Hankook Winter i*cept iZ2 W616 tire with size 235/55R17 and manufacturer part number 1020357 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC222166/Hankook/1020357/Winter-i*cept-iZ2-W616_715459404063_235+55R17
715459353194,hankook,ventus_v12_evo2_k120,255/45R20,1015370,yes,Hankook Ventus V12 evo2 K120 255/45R20,The barcode 715459353194 consistently resolves to the Hankook Ventus V12 evo2 K120 tire with size 255/45R20 and manufacturer part number 1015370 across multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC222171/Hankook/1015370/Ventus-V12-evo2-K120_715459353194_255+45R20
715459431632,hankook,ventus_s1_evo3_k127,205/55R17,1022636,yes,Hankook Ventus S1 evo3 K127,"The barcode resolves to Hankook Ventus S1 evo3 K127 across multiple credible sources, matching the recorded brand and model.",True,https://www.tiresandwheels.com/product/tire/EC295397/Hankook/1022636/Ventus-S1-evo3-K127_715459431632_205+55R17
715459343652,hankook,ventus_s1_noble2_h452,225/40R18,1014499,yes,Hankook Ventus S1 noble2 H452,"The barcode resolves to 'Hankook Ventus S1 noble2 H452' on multiple credible websites, matching the recorded brand and model.",True,https://www.tiresandwheels.com/product/tire/EC166609/Hankook/1014499/Ventus-S1-Noble2-H452_715459343652_225+40R18
086699171979,bfgoodrich,rugged_terrain_t_a,LT245/75R16,17197,yes,BFGoodrich Rugged Terrain T/A LT245/75R16,"The barcode 086699171979 resolves to BFGoodrich Rugged Terrain T/A LT245/75R16, and the manufacturer part number 17197 is also associated with this tire size and model.",True,https://www.tiresandwheels.com/product/tire/EC27386/BFGoodrich/17197_Rugged+Terrain+T/A_86699171979_LT245+75R16
715459470051,hankook,ventus_s1_noble2_h452b,255/40R20,1025595,yes,Hankook Ventus S1 Noble2 H452B 255/40R20XL,"The barcode resolves to Hankook Ventus S1 Noble2 H452B 255/40R20XL with manufacturer part number 1025595, matching the recorded product details.",True,https://www.tiresandwheels.com/product/tire/EC369322/Hankook/1025595/Ventus-S1-noble2-H452B_715459470051_255+40R20
715459416325,hankook,kinergy_pt_h737,225/55R17,1021400,yes,Hankook Kinergy PT H737,"The barcode resolves to Hankook Kinergy PT H737 across multiple credible sources, matching the recorded brand and model.",True,https://www.tiresandwheels.com/product/tire/EC166380/Hankook/1021400/Kinergy-PT-H737_715459416325_225+55R17
697662155133,goodyear,wrangler_territory_rt,235/65R17,710004933,yes,Goodyear Wrangler Territory RT 235/65R17,The barcode 697662155133 resolves to 'Goodyear Wrangler Territory RT' and is specifically listed for the size 235/65R17 on Discount Tire's website.,True,https://www.tiresandwheels.com/product/tire/EC495670/Goodyear/710004933/Wrangler-Territory-RT_697662155133_235+65R17
029142829171,cooper,discoverer_stt_pro,LT265/70R17,90000023627,yes,Cooper Discoverer STT Pro LT265/70R17,"The barcode 029142829171 resolves to Cooper Discoverer STT Pro tires on multiple credible websites, and the size LT265/70R17 is listed as an available size for this model.",True,https://www.tiresandwheels.com/product/tire/EC105492/Cooper/90000023627_Discoverer+STT+PRO_29142829171_LT265+70R17
8808956141066,kumho,solus_ta31,215/55R17,2175593,parse_error,,,True,https://www.tiresandwheels.com/product/tire/EC168123/Kumho/2175593/Solus-TA31_8808956141066_215+55R17
715459217496,hankook,ventus_rh06,275/40R20,1004328,yes,Hankook Ventus ST RH06 275/40R20,"The barcode 715459217496 consistently resolves to Hankook Ventus ST RH06 275/40R20 across multiple credible sources, and the manufacturer part number 1004328 also matches.",True,https://www.tiresandwheels.com/product/tire/EC8364/Hankook/1004328/Ventus-RH06_715459217496_275+40R20
715459421008,hankook,dynapro_at_m_rf10_3pms,265/65R17,1021750,yes,Hankook Dynapro AT-M RF10 265/65R17 (3PMSF rated),"The barcode resolves to Hankook Dynapro AT-M RF10 265/65R17 across multiple credible sources, and the '3pms' in the recorded model likely refers to the Three-Peak Mountain Snowflake (3PMSF) rating, wh",True,https://www.tiresandwheels.com/product/tire/EC246290/Hankook/1021750/Dynapro-AT-M-RF10-3PMS_715459421008_265+65R17
715459330348,hankook,ventus_s1_evo2_k117,245/35R19,1013203,yes,"Hankook Ventus S1 evo2 K117 245/35R19, MPN: 1013203",The barcode resolves to 'Hankook Ventus S1 evo2 K117 245/35R19' with manufacturer part number '1013203' on multiple credible sources.,True,https://www.tiresandwheels.com/product/tire/EC246225/Hankook/1013203/Ventus-S1-evo2-K117_715459330348_245+35R19
715459342426,hankook,ventus_v2_concept_h457,215/55R16,1014373,yes,Hankook Ventus V2 Concept 2 H457 215/55R16,"The barcode 715459342426 consistently resolves to the Hankook Ventus V2 Concept 2 H457 tire, including the specified size 215/55R16 and manufacturer part number 1014373, across multiple credible sourc",True,https://www.tiresandwheels.com/product/tire/EC225257/Hankook/1014373/Ventus-V2-Concept-H457_715459342426_215+55R16
721506337109,yokohama,bluearth_s34tz,P235/65R17,110133710,parse_error,,,True,https://www.tiresandwheels.com/product/tire/EC369740/Yokohama/110133710/BluEarth-S34TZ_721506337109_P235+65R17
715459343782,hankook,ventus_s1_noble2_h452,235/50R18,1014512,yes,Hankook Ventus S1 Noble2 H452 235/50R18,"The barcode resolves to Hankook Ventus S1 Noble2 H452, matching the recorded brand and model. The manufacturer part number 1014512 is also confirmed for this product and size.",True,https://www.tiresandwheels.com/product/tire/EC166622/Hankook/1014512/Ventus-S1-Noble2-H452_715459343782_235+50R18
715459289066,hankook,ipike_rw11,265/60R18,1009530,yes,Hankook Winter I*Pike RW11 265/60R18,"The barcode 715459289066 consistently resolves to Hankook Winter I*Pike RW11 265/60R18 across multiple credible sources, and one source also confirms the manufacturer part number 1009530.",True,https://www.tiresandwheels.com/product/tire/EC166280/Hankook/1009530/i*Pike-RW11_715459289066_265+60R18
715459353767,hankook,ventus_v12_evo2_k120,235/35R19,1015419,yes,Hankook Ventus V12 evo2 K120 235/35R19,"The barcode resolves to 'Hankook Ventus V12 evo2 K120 235/35R19' on Discount Tire's website, matching the recorded brand, model, and size.",True,https://www.tiresandwheels.com/product/tire/EC222215/Hankook/1015419/Ventus-V12-evo2-K120_715459353767_235+35R19
715459398911,hankook,winter_icept_iz2_w616,195/70R14,1019927,yes,Hankook Winter i*cept iZ2 W616 195/70R14,"The barcode 715459398911 consistently resolves to the Hankook Winter i*cept iZ2 W616 tire, size 195/70R14, with manufacturer part number 1019927 across multiple credible sources.",True,https://www.tiresandwheels.com/product/tire/EC222134/Hankook/1019927/Winter-i*cept-iZ2-W616_715459398911_195+70R14
715459351794,hankook,ventus_v12_evo2_k120,255/40R18,1015252,yes,Hankook Ventus V12 evo2 K120,"The barcode resolves to 'Hankook Ventus V12 evo2 K120' across multiple credible sources, matching the recorded brand and model.",True,https://www.tiresandwheels.com/product/tire/EC222199/Hankook/1015252/Ventus-V12-evo2-K120_715459351794_255+40R18
715459473830,hankook,ventus_s1_evo3_k127b,245/40R19,1025925,yes,"Hankook Ventus S1 evo3 K127B 245/40R19, Manufacturer Part Number: 1025925","The barcode resolves to the exact brand, model, size, and manufacturer part number as recorded.",True,https://www.tiresandwheels.com/product/tire/EC371815/Hankook/1025925/Ventus-S1-evo3-K127B_715459473830_245+40R19
715459463862,hankook,kinergy_pt_h737,215/50R17,1025064,yes,Hankook Kinergy PT H737 215/50R17,The barcode 715459463862 consistently resolves to the Hankook Kinergy PT H737 tire with size 215/50R17 and manufacturer part number 1025064 across multiple credible online retailers.,True,https://www.tiresandwheels.com/product/tire/EC246329/Hankook/1025064/Kinergy-PT-H737_715459463862_215+50R17
715459216154,hankook,ventus_rh06,295/45R20,1004231,yes,"Hankook Ventus ST RH06 295/45R20, MPN: 1004231","The barcode 715459216154 consistently resolves to the Hankook Ventus ST RH06 tire, size 295/45R20, and manufacturer part number 1004231 across multiple credible sources.",True,https://www.tiresandwheels.com/product/tire/EC8366/Hankook/1004231/Ventus-RH06_715459216154_295+45R20
715459308576,hankook,optimo_h426,P205/60R15,1011290,yes,Hankook Optimo H426,The barcode 715459308576 consistently resolves to Hankook Optimo H426 tires across multiple credible online retailers and the manufacturer's website.,True,https://www.tiresandwheels.com/product/tire/EC166422/Hankook/1011290/Optimo-H426_715459308576_P205+60R15
715459445899,hankook,ventus_s1_noble2_h452,255/40R20,1023793,yes,Hankook Ventus S1 Noble2 H452 255/40R20 101H XL (Manufacturer Part Number: 1023793),"The barcode 715459445899 consistently resolves to the Hankook Ventus S1 Noble2 H452 tire in size 255/40R20, with manufacturer part number 1023793, across multiple credible sources.",True,https://www.tiresandwheels.com/product/tire/EC301691/Hankook/1023793/Ventus-S1-Noble2-H452_715459445899_255+40R20
715459473953,hankook,dynapro_ht_rh12,LT285/70R17,2021230,yes,Hankook Dynapro HT RH12 LT285/70R17,"The barcode 715459473953 resolves to Hankook Dynapro HT RH12 LT285/70R17, which matches the recorded brand, model, size, and manufacturer part number 2021230.",True,https://www.tiresandwheels.com/product/tire/EC246622/Hankook/2021230/DynaPro-HT-RH12_715459473953_LT285+70R17
715459424207,hankook,kinergy_st_h735,185/75R14,1022038,yes,Hankook Kinergy ST H735,"The barcode resolves to Hankook Kinergy ST H735, and the manufacturer part number 1022038 is also associated with this product.",True,https://www.tiresandwheels.com/product/tire/EC245191/Hankook/1022038/Kinergy-ST-H735_715459424207_185+75R14
715459431588,hankook,ventus_prime3_k125,195/55R16,1022630,yes,Hankook Ventus Prime3 K125 195/55R16,"The barcode 715459431588 consistently resolves to Hankook Ventus Prime3 K125 in size 195/55R16 across multiple credible online retailers. Additionally, one source lists the manufacturer part number as",True,https://www.tiresandwheels.com/product/tire/EC296034/Hankook/1022630/Ventus-Prime3-K125_715459431588_195+55R16
848983006479,falken,wildpeak_a_t3w,LT275/65R18,28030803,yes,Falken Wildpeak A/T3W,The barcode 848983006479 resolves to Falken Wildpeak A/T3W tires on multiple credible sources. One search result specifically lists 'Falken Wildpeak A/T3WA LT275/65R18' which matches the recorded bran,True,https://www.tiresandwheels.com/product/tire/EC106243/Falken/28030803_Wildpeak+A/T3W_848983006479_LT275+65R18
715459432264,hankook,dynapro_mt2_rt05,LT315/70R17,2020803,yes,Hankook Dynapro MT2 RT05 LT315/70R17 121Q D2 BSW,"The barcode resolves to Hankook Dynapro MT2 RT05 LT315/70R17 on Discount Tire's website, matching the recorded brand, model, and size.",True,https://www.tiresandwheels.com/product/tire/EC245175/Hankook/2020803/Dynapro-MT2-RT05_715459432264_LT315+70R17
715459459650,hankook,kinergy_st_h735,195/75R14,1024734,yes,Hankook Kinergy ST H735 195/75R14,"Barcode 715459459650 resolves to Hankook Kinergy ST H735, size 195/75R14, and manufacturer part number 1024734 on multiple credible sources.",True,https://www.tiresandwheels.com/product/tire/EC245196/Hankook/1024734/Kinergy-ST-H735_715459459650_195+75R14
715459323371,hankook,ipike_rw11,205/75R15,1012550,yes,"Hankook Winter I*Pike RW11 205/75R15, MPN 1012550",The barcode resolves to Hankook Winter I*Pike RW11 205/75R15 with manufacturer part number 1012550 on multiple credible websites.,True,https://www.tiresandwheels.com/product/tire/EC166318/Hankook/1012550/i*Pike-RW11_715459323371_205+75R15
