brand,model,size,load_index,speed_rating,sidewall,season,category,upc_gtin,part_number,mfr_part_number,vendor_sku,status,scannable,confidence,source_types,source_urls,source_notes,evidence_notes,dedupe_key
Michelin,Pilot Sport 4S,245/40ZR18,93,Y,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.michelinman.com/auto/tires/michelin-pilot-sport-4,Firecrawl scrape; facts-only extraction for Michelin Pilot Sport 4S,base 0.8 (manufacturer_catalog),id:michelin|pilot sport 4s|245/40zr18|93|y|
Michelin,Defender T+H,215/60R16,,,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.discounttirecenters.com/tires/view/237906/michelin-defender-t-h-215-60r16/,Firecrawl scrape; facts-only extraction for Michelin Defender T+H,base 0.4 (retailer_page),id:michelin|defender t+h|215/60r16|||
Goodyear,Assurance WeatherReady,225/65R17,102,H,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.tiremart.com/goodyear-assurance-weatherready-2-225-65r17-102h-all-weather-tire/?srsltid=AfmBOoq74cO_i29Bc1R4O1tW6KRSodqChiLaUny21tDfKtIEgOUru4e-,Firecrawl scrape; facts-only extraction for Goodyear Assurance WeatherReady,base 0.4 (retailer_page),id:goodyear|assurance weatherready|225/65r17|102|h|
Goodyear,Eagle F1 Asymmetric 6,245/40R18,,,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.tirerack.com/tires/tires.jsp?tireMake=Goodyear&tireModel=Eagle+F1+Asymmetric+6&partnum=44YR8F1A6&srsltid=AfmBOooh_Zh07yWezlKAhwKDSjieGfuVxEu2oPTTQDB29q-1qwfj7hDL,Firecrawl scrape; facts-only extraction for Goodyear Eagle F1 Asymmetric 6,base 0.4 (retailer_page),id:goodyear|eagle f1 asymmetric 6|245/40r18|||
Bridgestone,Turanza QuietTrack,215/55R17,94,V,,,Tire,,,000067,,hold,candidate_scannable,0.4,retailer_page,https://www.bestonetire.com/tiredetail/?brand=bridgestone&product_code=000067,Firecrawl scrape; facts-only extraction for Bridgestone Turanza QuietTrack,base 0.4 (retailer_page),id:bridgestone|turanza quiettrack|215/55r17|94|v|
Bridgestone,Blizzak WS90,205/55R16,,,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.tirerack.com/tires/tires.jsp?tireMake=Bridgestone&tireModel=Blizzak+WS90&partnum=055HR6WS90&srsltid=AfmBOorn2Kh1AH2T_kzea2pHK9iEuTWNEzqp-EOQUWqUYJMUrqQ_mxEM,Firecrawl scrape; facts-only extraction for Bridgestone Blizzak WS90,base 0.4 (retailer_page),id:bridgestone|blizzak ws90|205/55r16|||
Continental,ExtremeContact DWS06 Plus,245/40R18,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://continentaltire.com/tires/extremecontact-dws06-plus/specs,Firecrawl scrape; facts-only extraction for Continental ExtremeContact DWS06 Plus,base 0.8 (manufacturer_catalog),id:continental|extremecontact dws06 plus|245/40r18|||
Pirelli,P Zero,225/60R16,97,V,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.pirelli.com/tires/en-us/car/driving-and-tire-tips/how-to-read/tire-speed-rating,Firecrawl scrape; facts-only extraction for Pirelli P Zero,base 0.8 (manufacturer_catalog),id:pirelli|p zero|225/60r16|97|v|
Falken,Sincera ST80,215/70R15,98,T,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.tiremart.com/falken-sincera-st80-a-s-215-70r15-98t-as-all-season-tire?srsltid=AfmBOopLTVuHLUTJCU9NHrdnjVQXYyHshTy2nD26rLfc7p1ySKAOjXel,Firecrawl scrape; facts-only extraction for Falken Sincera ST80,base 0.4 (retailer_page),id:falken|sincera st80|215/70r15|98|t|
Toyo,Open Country A/T III,265/70R17,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.toyotires.com/product/open-country-at3/,Firecrawl scrape; facts-only extraction for Toyo Open Country A/T III,base 0.8 (manufacturer_catalog),id:toyo|open country a/t iii|265/70r17|||
Nitto,NT555 G2,275/40R20,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.nittotire.com/car-tires/nt555-g2-ultra-high-performance-tire/,Firecrawl scrape; facts-only extraction for Nitto NT555 G2,base 0.8 (manufacturer_catalog),id:nitto|nt555 g2|275/40r20|||
Nexen,Roadian GTX,235/60R18,107,V,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.tiremart.com/nexen-roadian-gtx-235-60r18-107v-xl-as-a-s-all-season-tire?srsltid=AfmBOooDsfYkCJZF5IXXj8ffkF75Dy0_0dVIBcwl2FwTQYexmZL4VL-N,Firecrawl scrape; facts-only extraction for Nexen Roadian GTX,base 0.4 (retailer_page),id:nexen|roadian gtx|235/60r18|107|v|
Hankook,Kinergy PT H737,225/65R17,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.hankooktire.com/us/en/tire/kinergy/pt-h737.html,Firecrawl scrape; facts-only extraction for Hankook Kinergy PT H737,base 0.8 (manufacturer_catalog),id:hankook|kinergy pt h737|225/65r17|||
Kumho,Crugen HP71,245/60R18,105,H,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.tiremart.com/kumho-crugen-hp71-245-60r18-105h-as-a-s-all-season-tire/?srsltid=AfmBOop0J81d1_jZTiZfrknkzVWQd8IhiiCoh1RAs3gqZNWWKOTzzq_U,Firecrawl scrape; facts-only extraction for Kumho Crugen HP71,base 0.4 (retailer_page),id:kumho|crugen hp71|245/60r18|105|h|
Cooper,Discoverer AT3 4S,235/75R16,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.coopertire.com/en_US/tires/discoverer-at3-4s/24484.html,Firecrawl scrape; facts-only extraction for Cooper Discoverer AT3 4S,base 0.8 (manufacturer_catalog),id:cooper|discoverer at3 4s|235/75r16|||
BFGoodrich,All-Terrain T/A KO2,265/70R17,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.bfgoodrichtires.com/auto/tires/bfgoodrich-all-terrain-t-a-ko2,Firecrawl scrape; facts-only extraction for BFGoodrich All-Terrain T/A KO2,base 0.8 (manufacturer_catalog),id:bfgoodrich|all-terrain t/a ko2|265/70r17|||
Yokohama,Geolandar A/T G015,265/70R17,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://www.yokohamatire.com/tires/geolandar-a-t-g015,Firecrawl scrape; facts-only extraction for Yokohama Geolandar A/T G015,base 0.8 (manufacturer_catalog),id:yokohama|geolandar a/t g015|265/70r17|||
General,Grabber A/TX,265/70R17,,,,,Tire,,,,,verified,spec_only,0.8,manufacturer_catalog,https://generaltire.com/tires/light-trucksuv/grabber-atx/specs,Firecrawl scrape; facts-only extraction for General Grabber A/TX,base 0.8 (manufacturer_catalog),id:general|grabber a/tx|265/70r17|||
Dunlop,Grandtrek AT20,265/70R16,,,,,Tire,,,,,hold,spec_only,0.4,retailer_page,https://www.fulsheartireandauto.com/Default.aspx?TabId=7938&view=single&brd=1&b=3&m=8074&tireid=Dunlop290105265&language=en-US,Firecrawl scrape; facts-only extraction for Dunlop Grandtrek AT20,base 0.4 (retailer_page),id:dunlop|grandtrek at20|265/70r16|||
Sailun,Terramax CVR,265/65R18,114,T,,,Tire,,,5541001,,hold,candidate_scannable,0.4,retailer_page,https://www.tires-easy.com/265-65-18/sailun-tires/terramax-cvr/tirecode/5541001?srsltid=AfmBOoo6b-aGAon2usanbPS4fYPJrO9zzYeeAklGyf4I3coUlxpus6r2,Firecrawl scrape; facts-only extraction for Sailun Terramax CVR,base 0.4 (retailer_page),id:sailun|terramax cvr|265/65r18|114|t|
